StudentID|StudentName|StudentAddress|StudentPhone
16180408 9603|Faith Savage|P.O. Box 146, 2964 Consequat Rd.|233-199-4035
16310908 0717|Noble Mejia|227-8904 Suspendisse Ave|399-246-1022
16600108 8621|Yoko Vincent|813-5879 Ornare Road|870-185-6572
16861014 9844|Yvette Chase|248 Phasellus St.|340-160-2752
16401230 1950|Beck Ryan|P.O. Box 698, 1070 Vestibulum St.|670-142-9570
16380223 8653|Timon Gaines|P.O. Box 349, 2017 Dolor Rd.|971-333-5377
16891128 5404|Samson Carpenter|4176 Ridiculus St.|128-388-4676
16040630 1812|Frances Potts|P.O. Box 917, 5228 Sed Road|111-417-5363
16710519 7094|Chaney Love|5713 Enim St.|656-805-7690
16901116 4119|Deacon Rutledge|Ap #679-8613 Cras St.|160-444-9308
16860705 0930|Alfonso White|731-4101 Posuere, St.|186-165-6569
16410328 9007|Samuel Oneill|P.O. Box 986, 2233 Augue Rd.|547-367-4986
16950918 9057|Sade Lynch|961-2149 Mollis. St.|593-867-4401
16431212 3914|Vielka Michael|1189 Elementum Ave|237-411-8667
16170324 4622|Jacob Pickett|Ap #733-2503 Est Av.|774-320-5137
16211112 7805|Thaddeus Buckley|Ap #946-1403 Sed Street|471-311-2432
16291019 3669|Allen Wolf|413-6403 Pellentesque Rd.|602-267-6855
16250819 0150|Joelle Underwood|879-2570 Dictum St.|130-206-3739
16951225 0789|Wanda Pruitt|795-1010 Diam Rd.|357-138-5036
16870210 9235|Jessica Bird|5134 Egestas Ave|579-569-5689
16200716 7741|Gage Mayo|P.O. Box 656, 5833 Lorem, Rd.|365-708-2718
16101022 8508|Blake Mcconnell|Ap #262-3775 Ut Ave|934-250-3852
16180203 1680|Dorian Fleming|9540 Dui St.|563-782-0639
16430230 3955|Chancellor Bryan|Ap #998-8022 Ut, Ave|280-153-3966
16870903 1523|Sonia Wolfe|948-2973 Natoque Rd.|822-963-9077
16780420 1767|Sebastian Higgins|886-3196 Cras St.|675-910-9033
16830715 6227|Amir Bridges|589-9593 Aliquam Ave|549-606-2253
16781204 3052|Lois Mcfarland|P.O. Box 166, 1176 Elit Street|409-534-0886
16560621 0325|Daria Bishop|P.O. Box 576, 9278 Inceptos Av.|918-423-1774
16041218 7999|Renee Ward|Ap #570-4479 Ac, Rd.|838-593-3420
16710412 0642|Kennedy Melton|686-3815 Sapien, Ave|656-254-7905
16630402 4877|Ivana Barlow|5118 Nec Rd.|497-463-7945
16310317 4342|Zenaida Dillard|8191 Eu, Street|143-624-4375
16560104 4364|Naomi Case|820-1507 Ut Rd.|105-662-0900
16120206 6666|Francesca Sellers|7902 Fringilla. Av.|722-303-8835
16330102 0800|Octavia Bush|P.O. Box 366, 4629 Vel Rd.|703-443-3645
16290113 3443|Danielle Shields|P.O. Box 145, 7987 Amet Rd.|549-465-0284
16611123 9296|Ivor Ray|Ap #407-5226 Hendrerit Rd.|940-592-0490
16880316 1531|Silas Anderson|P.O. Box 728, 9445 Lacus, Rd.|372-335-4729
16580226 7905|Meredith Tate|4941 Lectus St.|572-139-0959
16720716 9041|Karly Gillespie|9318 Montes, St.|240-304-8839
16790403 4761|Paloma Holland|P.O. Box 641, 6542 Sit Road|242-711-1818
16541119 8780|Veda Wong|Ap #137-9248 Aenean Rd.|327-447-2297
16191211 4335|Derek Newman|8742 Nunc St.|527-771-4514
16091204 1506|Ferdinand Solis|785-1098 Aliquam Rd.|441-264-8828
16860608 3619|Matthew Schneider|Ap #310-4106 Elementum Ave|219-529-6701
16671118 9263|Nissim Hopper|P.O. Box 346, 819 Lectus Road|292-981-7312
16800503 5145|Remedios Franklin|Ap #371-4101 Egestas. Rd.|956-511-8414
16031021 9563|Sebastian Lott|Ap #879-368 Eleifend, Rd.|415-806-4258
16850910 4538|Anastasia Kerr|P.O. Box 258, 7718 Semper Street|816-755-6220
16550830 5579|Lester Walters|340-1871 Et, St.|183-890-0037
16970301 9951|Kelsie Palmer|816-3976 Ut, Av.|290-219-8908
16330822 2847|Darryl Mcdowell|Ap #382-3345 Nec, St.|889-381-6632
16950816 1859|Brett May|4903 Duis Street|450-339-1006
16100406 9272|Vivien Joyce|Ap #112-9193 Luctus, St.|854-117-3987
16350418 7240|Fredericka Walls|Ap #764-9403 Aenean St.|437-631-1970
16660517 4306|Holly Colon|1044 Tristique St.|347-861-0948
16181002 7464|Flynn Reilly|728-140 A Road|865-868-4348
16211002 7949|Irene Oneil|653-1711 Lacinia Street|594-135-6070
16440113 6355|Ferris Stevens|790-3093 Elit, Ave|866-940-6850
16400422 2404|Libby Dyer|7449 Pharetra Avenue|659-245-8708
16360113 0267|Leah Pace|P.O. Box 514, 8788 Montes, Rd.|182-760-4143
16360616 7629|Bo Koch|967-6128 Ullamcorper, Street|523-374-9449
16601106 8621|Sophia Bass|908-5222 Dui. Rd.|725-112-6659
16261114 2619|Basil Camacho|553 Metus Ave|389-731-5295
16110624 2595|Cedric Foster|P.O. Box 739, 7310 Elit, St.|216-636-6432
16641120 6086|Ulysses Nieves|445-5676 Hendrerit St.|339-552-4189
16420729 0471|Keaton Gentry|401-9006 Dignissim Avenue|385-359-4050
